codigo_verificacion,Mes,Total,Nacionales,Internacionales,Bolivia,Brasil,Chile,Paraguay,Uruguay,Estados Unidos y Canadá,Resto de América,Europa,Resto del mundo,precio u$s turista
hfg666,ene,23.681,20.287,3.694,8,519,585,7,11,979,1217,435,33,245
hjd764,feb,26.758,23.390,3.368,15,573,524,9,3,809,938,442,55,245
loi135,mar,23.931,19.870,4.061,102,541,823,8,23,885,1000,,66,255
loi065,abr,22.370,18.915,3.455,9,552,790,16,23,654,736,604,71,260
hyt634,may,20.235,16.106,4.129,25,882,1.089,34,22,778,911,,53,260
jut876,jun,18.990,15.460,3.530,,831,714,2,15,858,598,,47,260
oyr965,jul,21.401,16.729,4.672,13,1.462,933,10,14,811,819,536,74,260
yta256,ago,15.763,13.153,2.610,19,462,794,5,23,395,745,308,9,320
kit964,sep,15.027,13.454,2.573,15,546,,8,17,294,447,245,25,320
oyt734,oct,18.869,16.194,2.675,,565,954,6,20,391,595,479,35,320
out573,nov,16.050,14.585,1.465,6,226,331,2,10,204,523,254,9,350
itr367,dic,16.613,14.563,2.050,5,330,426,2,7,300,542,432,6,350

